1Agent_id,2fast turn number,3turning_speed,4hb_number,5acc_number,6Average over speed,7ov_duration,8speeding times,9time
526702,1,2.64426907,18,1,2.609875254,1012,28,6255
526703,4,4.957953881,0,2,4.081338771,2896,48,18017
526704,0,4.458074471,5,1,7.047182341,4320,78,17565
526705,2,3.395098817,34,1,7.466048452,2968,101,29917
526707,1,5.307963125,3,1,6.190951209,3856,82,18472
526708,0,2.151391485,45,5,13.18627542,3997,103,39061
526709,2,3.333995063,11,5,8.391032844,2408,80,32796
526710,3,3.776519358,10,2,8.316298466,1443,73,21225
526711,0,2.426713456,39,1,8.320073606,6320,127,26268
526712,5,3.78236335,33,1,8.420071875,2308,170,53742
526713,9,4.34002132,73,1,20.65266318,11116,233,55426
526714,4,3.596302658,30,9,22.78107507,7104,358,88852
526715,2,2.210011613,0,0,2.424163215,1278,34,8943
526716,0,3.615843366,2,0,0.757389334,580,15,7416
526717,2,4.583529389,18,1,3.730952431,3822,87,16081
526718,1,6.630825541,0,0,0.075732006,138,6,707
526719,0,4.200240844,74,9,18.06336052,4222,205,51708
526720,3,4.989783403,10,0,1.36924181,1342,39,6359
526721,0,4.518603143,298,56,46.74181259,31119,634,220701
526722,3,4.616439778,13,0,5.214707456,3276,73,21225
526723,1,2.398004283,111,13,31.98845563,6044,158,77552
526724,5,7.015438853,1,0,1.0932195,876,32,3049
526725,5,4.395086038,8,0,0.937902625,647,28,3134
526726,0,4.945235465,63,2,17.66539168,10756,335,62244
526727,0,3.769394938,337,36,239548.6495,17562,1107,179927
526728,2,5.138264605,62,8,25.05130343,9977,250,39392
526729,3,3.816363991,64,1,8.091561297,7487,155,46508
526730,5,4.438984116,61,17,22.97960902,7563,264,37791
526732,0,2.339166743,85,20,22.21621889,1706,134,96495
526733,0,3.690269555,33,1,8.125621442,5412,116,27113
526734,2,4.019901093,21,2,5.604738315,3203,61,19642
526735,0,0.383890551,4,4,0,0,0,15365
526736,1,4.543230694,14,2,3.459571243,3536,55,18715
526737,0,4.170134898,45,1,18.69799223,6868,246,54774
526738,9,5.1235309,9,4,4.61934488,2393,60,11057
526739,2,3.623645643,130,0,27.40351561,11208,391,80404
526740,2,2.834225983,53,4,12.52675425,5485,217,47372
526741,3,5.372810133,16,3,12.11462773,4114,167,25376
526742,0,2.080345768,13,1,0.131509124,292,7,27732
526743,1,5.98018715,70,7,3960.846924,4917,279,33541
526744,0,8.788877046,300,9,18864.53431,4974,615,175282
526745,0,3.877069966,10,4,7.39351933,5193,143,33071
526747,1,2.722304441,17,1,3.304039828,2819,146,82162
526748,6,4.425302895,31,1,8.545779804,3592,173,17434
526749,2,4.49363368,124,22,14.32596701,8811,287,65480
526750,1,2.121358626,2,0,0.022190406,23,2,7589
526751,6,5.331778402,13,1,10.00582472,6952,152,14397
526752,6,5.874767572,68,10,14.0957341,6808,208,33220
526753,4,3.161267532,50,5,9.214418414,3329,187,49114
526754,6,3.851451859,26,5,8.330645346,1682,79,20380
526755,2,3.342666272,64,1,9.733836641,5540,174,41078
